distribution,zipf_s,burst,rows,cols,operation,measured_ns,analytical_ns,absolute_percentage_error
uniform,,False,3,256,insert,90.62714285714287,90.62714285714287,0.0
uniform,,False,3,256,query,99.03423982684494,99.03423982684492,1.434943585173045e-14
uniform,,False,3,256,merge,3000.0,3000.0,0.0
uniform,,False,3,1024,insert,89.21585714285713,90.62714285714287,1.5818776610820589
uniform,,False,3,1024,query,98.85386588357655,99.03423982684492,0.18246523963039618
uniform,,False,3,1024,merge,7000.0,12000.0,71.42857142857143
uniform,,False,3,4096,insert,89.1167142857143,90.62714285714287,1.6948880841657143
uniform,,False,3,4096,query,110.00883220822972,99.03423982684492,9.976101155779554
uniform,,False,3,4096,merge,20571.428571428572,48000.0,133.33333333333331
uniform,,False,5,256,insert,137.15085714285712,151.04523809523812,10.13072848528284
uniform,,False,5,256,query,145.19054199553398,165.0570663780749,13.683070611549894
uniform,,False,5,256,merge,4000.0,5000.0,25.0
uniform,,False,5,1024,insert,134.46757142857143,151.04523809523812,12.32837515435658
uniform,,False,5,1024,query,158.16878822722322,165.0570663780749,4.3550173381590715
uniform,,False,5,1024,merge,11000.0,20000.0,81.81818181818183
uniform,,False,5,4096,insert,135.23042857142858,151.04523809523812,11.694712270660428
uniform,,False,5,4096,query,162.63088889265688,165.0570663780749,1.4918306737039275
uniform,,False,5,4096,merge,482571.4285714285,80000.0,83.42214328004737
zipf,1.1,False,3,256,insert,89.12585714285714,90.62714285714287,1.6844558497534146
zipf,1.1,False,3,256,query,99.22348674834019,99.03423982684492,0.19072794929617212
zipf,1.1,False,3,256,merge,2857.1428571428573,3000.0,4.999999999999993
zipf,1.1,False,3,1024,insert,89.30385714285714,90.62714285714287,1.4817789025270256
zipf,1.1,False,3,1024,query,99.28949829007418,99.03423982684492,0.2570850569548818
zipf,1.1,False,3,1024,merge,6857.142857142857,12000.0,75.00000000000001
zipf,1.1,False,3,4096,insert,90.94114285714285,90.62714285714287,0.34527826474891943
zipf,1.1,False,3,4096,query,126.63696138146254,99.03423982684492,21.79673394994945
zipf,1.1,False,3,4096,merge,156857.14285714287,48000.0,69.39890710382514
zipf,1.1,False,5,256,insert,135.486,151.04523809523812,11.484019083328263
zipf,1.1,False,5,256,query,145.6581569147653,165.0570663780749,13.318107186171002
zipf,1.1,False,5,256,merge,3857.1428571428573,5000.0,29.629629629629623
zipf,1.1,False,5,1024,insert,133.72157142857145,151.04523809523812,12.955027735312141
zipf,1.1,False,5,1024,query,158.29708693923752,165.0570663780749,4.270438306569849
zipf,1.1,False,5,1024,merge,11000.0,20000.0,81.81818181818183
zipf,1.1,False,5,4096,insert,135.14014285714285,151.04523809523812,11.769334338286594
zipf,1.1,False,5,4096,query,155.99903362408412,165.0570663780749,5.806467221981775
zipf,1.1,False,5,4096,merge,134142.85714285716,80000.0,40.362087326943566
zipf,1.1,True,3,256,insert,90.01896103896104,90.62714285714287,0.6756152383480707
zipf,1.1,True,3,256,query,98.34666607740643,99.03423982684492,0.69913274833061
zipf,1.1,True,3,256,merge,3428.571428571429,3000.0,12.500000000000009
zipf,1.1,True,3,1024,insert,90.03558441558442,90.62714285714287,0.6570273802277377
zipf,1.1,True,3,1024,query,99.6215774114028,99.03423982684492,0.5895686454876841
zipf,1.1,True,3,1024,merge,6857.142857142857,12000.0,75.00000000000001
zipf,1.1,True,3,4096,insert,88.52454545454546,90.62714285714287,2.3751575247308416
zipf,1.1,True,3,4096,query,113.32951757180815,99.03423982684492,12.613905054263924
zipf,1.1,True,3,4096,merge,21142.857142857145,48000.0,127.02702702702699
zipf,1.1,True,5,256,insert,135.33480519480523,151.04523809523812,11.60856800866473
zipf,1.1,True,5,256,query,146.44288996920943,165.0570663780749,12.71087753920946
zipf,1.1,True,5,256,merge,3857.1428571428573,5000.0,29.629629629629623
zipf,1.1,True,5,1024,insert,133.1848051948052,151.04523809523812,13.410263186036154
zipf,1.1,True,5,1024,query,159.34171259767035,165.0570663780749,3.586853490671031
zipf,1.1,True,5,1024,merge,10428.571428571428,20000.0,91.78082191780824
zipf,1.1,True,5,4096,insert,137.12064935064936,151.04523809523812,10.154990375651119
zipf,1.1,True,5,4096,query,164.53168131359095,165.0570663780749,0.31932151929000124
zipf,1.1,True,5,4096,merge,498142.8571428571,80000.0,83.94034987094923
