ERP Edge candidate 0: Cms { depth: 3, width: 128, heap: 0 }, max loss 8876.04947297688
ERP Edge candidate 1: Cms { depth: 3, width: 128, heap: 16 }, max loss 9021.279038711778
ERP Edge candidate 2: Cs { depth: 3, width: 128, heap: 16 }, max loss 2932.8622971451846
ERP Edge candidate 3: Cms { depth: 3, width: 128, heap: 32 }, max loss 9021.279038711778
ERP Edge candidate 4: Cs { depth: 3, width: 128, heap: 32 }, max loss 2932.8622971451846
ERP Edge candidate 5: Cms { depth: 3, width: 128, heap: 64 }, max loss 9021.279038711778
ERP Edge candidate 6: Cs { depth: 3, width: 128, heap: 64 }, max loss 2932.8622971451846
ERP Edge candidate 7: Cms { depth: 3, width: 256, heap: 0 }, max loss 3814.0375471198795
ERP Edge candidate 8: Cms { depth: 3, width: 256, heap: 16 }, max loss 3888.3941496348093
ERP Edge candidate 9: Cs { depth: 3, width: 256, heap: 16 }, max loss 1511.8636605880854
ERP Edge candidate 10: Cms { depth: 3, width: 256, heap: 32 }, max loss 3888.3941496348093
ERP Edge candidate 11: Cs { depth: 3, width: 256, heap: 32 }, max loss 1511.8636605880854
ERP Edge candidate 12: Cms { depth: 3, width: 256, heap: 64 }, max loss 3888.3941496348093
ERP Edge candidate 13: Cs { depth: 3, width: 256, heap: 64 }, max loss 1511.8636605880854
ERP Edge candidate 14: Cms { depth: 3, width: 512, heap: 0 }, max loss 1586.9099420353837
ERP Edge candidate 15: Cms { depth: 3, width: 512, heap: 16 }, max loss 1613.8480919726383
ERP Edge candidate 16: Cs { depth: 3, width: 512, heap: 16 }, max loss 781.5831852611578
ERP Edge candidate 17: Cms { depth: 3, width: 512, heap: 32 }, max loss 1613.8480919726383
ERP Edge candidate 18: Cs { depth: 3, width: 512, heap: 32 }, max loss 781.5831852611578
ERP Edge candidate 19: Cms { depth: 3, width: 512, heap: 64 }, max loss 1613.8480919726383
ERP Edge candidate 20: Cs { depth: 3, width: 512, heap: 64 }, max loss 781.5831852611578
ERP Edge candidate 21: Cms { depth: 3, width: 1024, heap: 0 }, max loss 627.260016366193
ERP Edge candidate 22: Cms { depth: 3, width: 1024, heap: 16 }, max loss 635.593756212019
ERP Edge candidate 23: Cs { depth: 3, width: 1024, heap: 16 }, max loss 392.3765492699239
ERP Edge candidate 24: Cms { depth: 3, width: 1024, heap: 32 }, max loss 635.593756212019
ERP Edge candidate 25: Cs { depth: 3, width: 1024, heap: 32 }, max loss 392.3765492699239
ERP Edge candidate 26: Cms { depth: 3, width: 1024, heap: 64 }, max loss 635.593756212019
ERP Edge candidate 27: Cs { depth: 3, width: 1024, heap: 64 }, max loss 392.3765492699239
ERP Edge candidate 28: Cms { depth: 5, width: 128, heap: 0 }, max loss 7763.251402772984
ERP Edge candidate 29: Cms { depth: 5, width: 128, heap: 16 }, max loss 7899.235685373965
ERP Edge candidate 30: Cs { depth: 5, width: 128, heap: 16 }, max loss 2019.9270594634277
ERP Edge candidate 31: Cms { depth: 5, width: 128, heap: 32 }, max loss 7899.235685373965
ERP Edge candidate 32: Cs { depth: 5, width: 128, heap: 32 }, max loss 2019.9270594634277
ERP Edge candidate 33: Cms { depth: 5, width: 128, heap: 64 }, max loss 7899.235685373965
ERP Edge candidate 34: Cs { depth: 5, width: 128, heap: 64 }, max loss 2019.9270594634277
ERP Edge candidate 35: Cms { depth: 5, width: 256, heap: 0 }, max loss 3205.970642074287
ERP Edge candidate 36: Cms { depth: 5, width: 256, heap: 16 }, max loss 3306.376138285794
ERP Edge candidate 37: Cs { depth: 5, width: 256, heap: 16 }, max loss 1074.578863220335
ERP Edge candidate 38: Cms { depth: 5, width: 256, heap: 32 }, max loss 3306.376138285794
ERP Edge candidate 39: Cs { depth: 5, width: 256, heap: 32 }, max loss 1074.578863220335
ERP Edge candidate 40: Cms { depth: 5, width: 256, heap: 64 }, max loss 3306.376138285794
ERP Edge candidate 41: Cs { depth: 5, width: 256, heap: 64 }, max loss 1074.578863220335
ERP Edge candidate 42: Cms { depth: 5, width: 512, heap: 0 }, max loss 1279.791410309726
ERP Edge candidate 43: Cms { depth: 5, width: 512, heap: 16 }, max loss 1303.6463560829918
ERP Edge candidate 44: Cs { depth: 5, width: 512, heap: 16 }, max loss 526.5718923441095
ERP Edge candidate 45: Cms { depth: 5, width: 512, heap: 32 }, max loss 1303.6463560829918
ERP Edge candidate 46: Cs { depth: 5, width: 512, heap: 32 }, max loss 526.5718923441095
ERP Edge candidate 47: Cms { depth: 5, width: 512, heap: 64 }, max loss 1303.6463560829918
ERP Edge candidate 48: Cs { depth: 5, width: 512, heap: 64 }, max loss 526.5718923441095
ERP Edge candidate 49: Cms { depth: 5, width: 1024, heap: 0 }, max loss 480.6203299336693
ERP Edge candidate 50: Cms { depth: 5, width: 1024, heap: 16 }, max loss 484.92307157587413
ERP Edge candidate 51: Cs { depth: 5, width: 1024, heap: 16 }, max loss 253.9182519637602
ERP Edge candidate 52: Cms { depth: 5, width: 1024, heap: 32 }, max loss 484.92307157587413
ERP Edge candidate 53: Cs { depth: 5, width: 1024, heap: 32 }, max loss 253.9182519637602
ERP Edge candidate 54: Cms { depth: 5, width: 1024, heap: 64 }, max loss 484.92307157587413
ERP Edge candidate 55: Cs { depth: 5, width: 1024, heap: 64 }, max loss 253.9182519637602
ERP Edge candidate 56: Cms { depth: 7, width: 128, heap: 0 }, max loss 7228.701357223259
ERP Edge candidate 57: Cms { depth: 7, width: 128, heap: 16 }, max loss 7311.585545066178
ERP Edge candidate 58: Cs { depth: 7, width: 128, heap: 16 }, max loss 1553.8571531361017
ERP Edge candidate 59: Cms { depth: 7, width: 128, heap: 32 }, max loss 7311.585545066178
ERP Edge candidate 60: Cs { depth: 7, width: 128, heap: 32 }, max loss 1553.8571531361017
ERP Edge candidate 61: Cms { depth: 7, width: 128, heap: 64 }, max loss 7311.585545066178
ERP Edge candidate 62: Cs { depth: 7, width: 128, heap: 64 }, max loss 1553.8571531361017
ERP Edge candidate 63: Cms { depth: 7, width: 256, heap: 0 }, max loss 2956.1696705907316
ERP Edge candidate 64: Cms { depth: 7, width: 256, heap: 16 }, max loss 2995.458107058317
ERP Edge candidate 65: Cs { depth: 7, width: 256, heap: 16 }, max loss 845.9385743362972
ERP Edge candidate 66: Cms { depth: 7, width: 256, heap: 32 }, max loss 2995.458107058317
ERP Edge candidate 67: Cs { depth: 7, width: 256, heap: 32 }, max loss 845.9385743362972
ERP Edge candidate 68: Cms { depth: 7, width: 256, heap: 64 }, max loss 2995.458107058317
ERP Edge candidate 69: Cs { depth: 7, width: 256, heap: 64 }, max loss 845.9385743362972
ERP Edge candidate 70: Cms { depth: 7, width: 512, heap: 0 }, max loss 1146.8355441515253
ERP Edge candidate 71: Cms { depth: 7, width: 512, heap: 16 }, max loss 1166.0788699277912
ERP Edge candidate 72: Cs { depth: 7, width: 512, heap: 16 }, max loss 413.5638787633402
ERP Edge candidate 73: Cms { depth: 7, width: 512, heap: 32 }, max loss 1166.0788699277912
ERP Edge candidate 74: Cs { depth: 7, width: 512, heap: 32 }, max loss 413.5638787633402
ERP Edge candidate 75: Cms { depth: 7, width: 512, heap: 64 }, max loss 1166.0788699277912
ERP Edge candidate 76: Cs { depth: 7, width: 512, heap: 64 }, max loss 413.5638787633402
ERP Edge candidate 77: Cms { depth: 7, width: 1024, heap: 0 }, max loss 415.00531108571766
ERP Edge candidate 78: Cms { depth: 7, width: 1024, heap: 16 }, max loss 418.2431830903812
ERP Edge candidate 79: Cs { depth: 7, width: 1024, heap: 16 }, max loss 198.1172475526932
ERP Edge candidate 80: Cms { depth: 7, width: 1024, heap: 32 }, max loss 418.2431830903812
ERP Edge candidate 81: Cs { depth: 7, width: 1024, heap: 32 }, max loss 198.1172475526932
ERP Edge candidate 82: Cms { depth: 7, width: 1024, heap: 64 }, max loss 418.2431830903812
ERP Edge candidate 83: Cs { depth: 7, width: 1024, heap: 64 }, max loss 198.1172475526932
ERP Edge candidate 84: Exact, max loss 0
