ERP Service candidate 0: Cms { depth: 3, width: 128, heap: 0 }, max loss 1901.0196597195502
ERP Service candidate 1: Cms { depth: 3, width: 128, heap: 16 }, max loss 1928.4426124385227
ERP Service candidate 2: Cs { depth: 3, width: 128, heap: 16 }, max loss 1295.999584028021
ERP Service candidate 3: Cms { depth: 3, width: 128, heap: 32 }, max loss 1928.4426124385227
ERP Service candidate 4: Cs { depth: 3, width: 128, heap: 32 }, max loss 1295.999584028021
ERP Service candidate 5: Cms { depth: 3, width: 128, heap: 64 }, max loss 1928.4426124385227
ERP Service candidate 6: Cs { depth: 3, width: 128, heap: 64 }, max loss 1295.999584028021
ERP Service candidate 7: Cms { depth: 3, width: 256, heap: 0 }, max loss 701.7389165803261
ERP Service candidate 8: Cms { depth: 3, width: 256, heap: 16 }, max loss 705.0342696545559
ERP Service candidate 9: Cs { depth: 3, width: 256, heap: 16 }, max loss 597.071720582111
ERP Service candidate 10: Cms { depth: 3, width: 256, heap: 32 }, max loss 705.0342696545559
ERP Service candidate 11: Cs { depth: 3, width: 256, heap: 32 }, max loss 597.071720582111
ERP Service candidate 12: Cms { depth: 3, width: 256, heap: 64 }, max loss 705.0342696545559
ERP Service candidate 13: Cs { depth: 3, width: 256, heap: 64 }, max loss 597.071720582111
ERP Service candidate 14: Cms { depth: 3, width: 512, heap: 0 }, max loss 234.94753037051765
ERP Service candidate 15: Cms { depth: 3, width: 512, heap: 16 }, max loss 246.4138027764448
ERP Service candidate 16: Cs { depth: 3, width: 512, heap: 16 }, max loss 267.2130982179011
ERP Service candidate 17: Cms { depth: 3, width: 512, heap: 32 }, max loss 246.4138027764448
ERP Service candidate 18: Cs { depth: 3, width: 512, heap: 32 }, max loss 267.2130982179011
ERP Service candidate 19: Cms { depth: 3, width: 512, heap: 64 }, max loss 246.4138027764448
ERP Service candidate 20: Cs { depth: 3, width: 512, heap: 64 }, max loss 267.2130982179011
ERP Service candidate 21: Cms { depth: 3, width: 1024, heap: 0 }, max loss 79.78438625640109
ERP Service candidate 22: Cms { depth: 3, width: 1024, heap: 16 }, max loss 82.18107654124583
ERP Service candidate 23: Cs { depth: 3, width: 1024, heap: 16 }, max loss 111.91975871703865
ERP Service candidate 24: Cms { depth: 3, width: 1024, heap: 32 }, max loss 82.18107654124583
ERP Service candidate 25: Cs { depth: 3, width: 1024, heap: 32 }, max loss 111.91975871703865
ERP Service candidate 26: Cms { depth: 3, width: 1024, heap: 64 }, max loss 82.18107654124583
ERP Service candidate 27: Cs { depth: 3, width: 1024, heap: 64 }, max loss 111.91975871703865
ERP Service candidate 28: Cms { depth: 5, width: 128, heap: 0 }, max loss 1416.766696879874
ERP Service candidate 29: Cms { depth: 5, width: 128, heap: 16 }, max loss 1425.0644252213513
ERP Service candidate 30: Cs { depth: 5, width: 128, heap: 16 }, max loss 859.9953359261933
ERP Service candidate 31: Cms { depth: 5, width: 128, heap: 32 }, max loss 1425.0644252213513
ERP Service candidate 32: Cs { depth: 5, width: 128, heap: 32 }, max loss 859.9953359261933
ERP Service candidate 33: Cms { depth: 5, width: 128, heap: 64 }, max loss 1425.0644252213513
ERP Service candidate 34: Cs { depth: 5, width: 128, heap: 64 }, max loss 859.9953359261933
ERP Service candidate 35: Cms { depth: 5, width: 256, heap: 0 }, max loss 492.70564794840794
ERP Service candidate 36: Cms { depth: 5, width: 256, heap: 16 }, max loss 505.50785807574056
ERP Service candidate 37: Cs { depth: 5, width: 256, heap: 16 }, max loss 362.1332445670265
ERP Service candidate 38: Cms { depth: 5, width: 256, heap: 32 }, max loss 505.50785807574056
ERP Service candidate 39: Cs { depth: 5, width: 256, heap: 32 }, max loss 362.1332445670265
ERP Service candidate 40: Cms { depth: 5, width: 256, heap: 64 }, max loss 505.50785807574056
ERP Service candidate 41: Cs { depth: 5, width: 256, heap: 64 }, max loss 362.1332445670265
ERP Service candidate 42: Cms { depth: 5, width: 512, heap: 0 }, max loss 159.25403158985353
ERP Service candidate 43: Cms { depth: 5, width: 512, heap: 16 }, max loss 165.53854681678163
ERP Service candidate 44: Cs { depth: 5, width: 512, heap: 16 }, max loss 146.07809513653825
ERP Service candidate 45: Cms { depth: 5, width: 512, heap: 32 }, max loss 165.53854681678163
ERP Service candidate 46: Cs { depth: 5, width: 512, heap: 32 }, max loss 146.07809513653825
ERP Service candidate 47: Cms { depth: 5, width: 512, heap: 64 }, max loss 165.53854681678163
ERP Service candidate 48: Cs { depth: 5, width: 512, heap: 64 }, max loss 146.07809513653825
ERP Service candidate 49: Cms { depth: 5, width: 1024, heap: 0 }, max loss 48.83237241884824
ERP Service candidate 50: Cms { depth: 5, width: 1024, heap: 16 }, max loss 49.39297391625129
ERP Service candidate 51: Cs { depth: 5, width: 1024, heap: 16 }, max loss 56.030849173651966
ERP Service candidate 52: Cms { depth: 5, width: 1024, heap: 32 }, max loss 49.39297391625129
ERP Service candidate 53: Cs { depth: 5, width: 1024, heap: 32 }, max loss 56.030849173651966
ERP Service candidate 54: Cms { depth: 5, width: 1024, heap: 64 }, max loss 49.39297391625129
ERP Service candidate 55: Cs { depth: 5, width: 1024, heap: 64 }, max loss 56.030849173651966
ERP Service candidate 56: Cms { depth: 7, width: 128, heap: 0 }, max loss 1217.467100507188
ERP Service candidate 57: Cms { depth: 7, width: 128, heap: 16 }, max loss 1224.6107707922345
ERP Service candidate 58: Cs { depth: 7, width: 128, heap: 16 }, max loss 642.5661580376498
ERP Service candidate 59: Cms { depth: 7, width: 128, heap: 32 }, max loss 1224.6107707922345
ERP Service candidate 60: Cs { depth: 7, width: 128, heap: 32 }, max loss 642.5661580376498
ERP Service candidate 61: Cms { depth: 7, width: 128, heap: 64 }, max loss 1224.6107707922345
ERP Service candidate 62: Cs { depth: 7, width: 128, heap: 64 }, max loss 642.5661580376498
ERP Service candidate 63: Cms { depth: 7, width: 256, heap: 0 }, max loss 419.2574131634477
ERP Service candidate 64: Cms { depth: 7, width: 256, heap: 16 }, max loss 427.80215488855936
ERP Service candidate 65: Cs { depth: 7, width: 256, heap: 16 }, max loss 264.1998951904321
ERP Service candidate 66: Cms { depth: 7, width: 256, heap: 32 }, max loss 427.80215488855936
ERP Service candidate 67: Cs { depth: 7, width: 256, heap: 32 }, max loss 264.1998951904321
ERP Service candidate 68: Cms { depth: 7, width: 256, heap: 64 }, max loss 427.80215488855936
ERP Service candidate 69: Cs { depth: 7, width: 256, heap: 64 }, max loss 264.1998951904321
ERP Service candidate 70: Cms { depth: 7, width: 512, heap: 0 }, max loss 133.2568156240228
ERP Service candidate 71: Cms { depth: 7, width: 512, heap: 16 }, max loss 135.78932124036504
ERP Service candidate 72: Cs { depth: 7, width: 512, heap: 16 }, max loss 103.75220174544917
ERP Service candidate 73: Cms { depth: 7, width: 512, heap: 32 }, max loss 135.78932124036504
ERP Service candidate 74: Cs { depth: 7, width: 512, heap: 32 }, max loss 103.75220174544917
ERP Service candidate 75: Cms { depth: 7, width: 512, heap: 64 }, max loss 135.78932124036504
ERP Service candidate 76: Cs { depth: 7, width: 512, heap: 64 }, max loss 103.75220174544917
ERP Service candidate 77: Cms { depth: 7, width: 1024, heap: 0 }, max loss 37.85047200330856
ERP Service candidate 78: Cms { depth: 7, width: 1024, heap: 16 }, max loss 37.575695131927
ERP Service candidate 79: Cs { depth: 7, width: 1024, heap: 16 }, max loss 39.64659673918317
ERP Service candidate 80: Cms { depth: 7, width: 1024, heap: 32 }, max loss 37.575695131927
ERP Service candidate 81: Cs { depth: 7, width: 1024, heap: 32 }, max loss 39.64659673918317
ERP Service candidate 82: Cms { depth: 7, width: 1024, heap: 64 }, max loss 37.575695131927
ERP Service candidate 83: Cs { depth: 7, width: 1024, heap: 64 }, max loss 39.64659673918317
ERP Service candidate 84: Exact, max loss 0
